model,rho_nominal,rho_label,rho_effective,N,eta,eta_index,steps,base_seed,realization,returncode,elapsed_s,output_path,source_run
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400107,7,0,1.7226,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_007_seed_1400107,final_voter_base_coarse_v1
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400108,8,0,1.7429,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_008_seed_1400108,final_voter_base_coarse_v1
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400109,9,0,1.763,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_009_seed_1400109,final_voter_base_coarse_v1
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400110,10,0,1.7694,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_010_seed_1400110,final_voter_base_coarse_v1
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400111,11,0,1.9239,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_011_seed_1400111,final_voter_base_coarse_v1
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400112,12,0,1.81,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_012_seed_1400112,final_voter_base_coarse_v1
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400113,13,0,1.8315,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_013_seed_1400113,final_voter_base_coarse_v1
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400114,14,0,1.769,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_014_seed_1400114,final_voter_base_coarse_v1
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400115,15,0,1.7962,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_015_seed_1400115,final_voter_base_coarse_v1
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400116,16,0,1.8602,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_016_seed_1400116,final_voter_base_coarse_v1
