model,rho_nominal,rho_label,rho_effective,N,eta,eta_index,steps,base_seed,realization,returncode,elapsed_s,output_path,source_run
vicsek,0.3183098861837907,rho_1_over_pi,,32,2.0,9,3000,1250908,8,0,0.363,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,2.0,9,3000,1250909,9,0,0.4136,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,2.0,9,3000,1250910,10,0,0.4117,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,2.0,9,3000,1250911,11,0,0.3975,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,2.0,9,3000,1250912,12,0,0.3999,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,2.0,9,3000,1250913,13,0,0.4022,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,2.0,9,3000,1250914,14,0,0.4136,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,2.0,9,3000,1250915,15,0,0.4519,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,2.0,9,3000,1250916,16,0,0.4685,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,2.0,9,3000,1250917,17,0,0.3983,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,2.0,9,3000,1250918,18,0,0.4128,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,2.0,9,3000,1250919,19,0,0.3863,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,3.0,10,3000,1251000,0,0,0.3551,,vicsek_lowrho_cluster_study_1
