model,rho_label,eta,t,realizations,va_mean,va_stdev,va_stderr,S_mean,S_stdev,S_stderr,source_run
vicsek,rho_1_over_pi,3.3999999999999999,200,20,0.22632129297196912,0.09512928676623641,0.021271555186037575,0.2015625,0.06286999855853347,0.014058159052219462,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,250,20,0.2227338745028115,0.12511991126166852,0.027977662691983228,0.221875,0.06839396446324778,0.015293355379052694,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,300,20,0.19883354238566958,0.09915279233225666,0.02217123838138458,0.234375,0.05970304117044625,0.013350005852058642,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,350,20,0.18778867509349434,0.07101538909445276,0.01587952374637936,0.25,0.08671523078444755,0.019390115071860715,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,400,20,0.23182093709414314,0.10331976890269426,0.02310300266859932,0.2640625,0.07020825605831553,0.015699043312810496,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,450,20,0.2261152026336371,0.09558284340119763,0.021372973532779508,0.2734375,0.08493736203079302,0.018992571533036278,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,500,20,0.24214415479141294,0.12771872627695974,0.02855877539549706,0.2625,0.08112971866091981,0.01814115659212499,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,550,20,0.24638654620704198,0.09695940442268,0.021680781934700622,0.2765625,0.11060690176815369,0.02473245511342333,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,600,20,0.25033795924539365,0.12769369100387984,0.028553177338252866,0.2703125,0.10377399948325207,0.023204571714157966,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,650,20,0.2187605144005326,0.10693319352237964,0.023910988976718103,0.3078125,0.09746543858594184,0.021793934613499693,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,700,20,0.22734682830477734,0.10834474191088127,0.024226620791740098,0.315625,0.11392328833473865,0.025474021693678444,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,750,20,0.17696959026662254,0.10130278232651845,0.022651990759195953,0.315625,0.12179484543690673,0.027234155370600352,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,800,20,0.2399789063977605,0.10597321570710852,0.023696331411534308,0.3171875,0.12353635282276225,0.02762356826040944,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,850,20,0.24238157297078286,0.10791102400552093,0.024129638519795642,0.2953125,0.09295233573584905,0.02078477413727414,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,900,20,0.24667188976772797,0.09282037896429202,0.020755267706144845,0.2984375,0.10292357222109035,0.023014410397346703,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,950,20,0.21146300497646386,0.10253373996400877,0.022927241254681045,0.3171875,0.11016456085670201,0.024633544678699815,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,1000,20,0.2103268848797603,0.1436123163632507,0.03211269017944339,0.321875,0.1161306511003878,0.025967603013177784,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,1050,20,0.26020711993678136,0.10338248461162489,0.02311702632744192,0.3390625,0.09846229846367593,0.02201683925856525,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,1100,20,0.2464008317219409,0.13321733739584926,0.029788302219864376,0.3171875,0.10747228930636027,0.024031534458654528,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,1150,20,0.22083638649170556,0.11192361461218787,0.025026881056034084,0.334375,0.12964042820432212,0.028988481009704522,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,1200,20,0.2866066820263211,0.11673158537887701,0.026101976002848953,0.353125,0.12503905639839097,0.02795958299492322,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,1250,20,0.23743140276841596,0.15412023576708322,0.034462332388349254,0.3390625,0.10747228930636027,0.024031534458654528,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,1300,20,0.21928347247765934,0.11182494541664867,0.025004817953182996,0.34375,0.0998044963916957,0.022316963839196406,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,1350,20,0.2365540855974541,0.11780804050521003,0.026342678686569827,0.3359375,0.09776556381850411,0.021861044655676908,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,1400,20,0.26077531520867964,0.11546082389500217,0.025817825096735688,0.3390625,0.09895696270980632,0.02212744954660387,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,1450,20,0.2917886178174447,0.1040427740617916,0.023264671536981793,0.3328125,0.10563932964928356,0.023621672219330706,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,1500,20,0.2610238209187068,0.11313431649729229,0.025297602227592145,0.3203125,0.1241671473005239,0.027764618193620094,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,1550,20,0.25546972957830727,0.1348245641938851,0.030147689057431124,0.3125,0.11004260538536881,0.024606274606286907,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,1600,20,0.2700741871343157,0.10837902130462598,0.024234285897204163,0.3296875,0.09756558291093227,0.021816327565323635,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,1650,20,0.23108237104801282,0.09523199937624427,0.021294522423849976,0.3296875,0.09503031999709356,0.02124942554370588,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,1700,20,0.2611640977091081,0.08994935489971807,0.020113287208802337,0.3625,0.11750997298101978,0.026276028761972384,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,1750,20,0.25106328004820855,0.0977090674874517,0.021848411692005656,0.3359375,0.1189451521448016,0.026596944578983126,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,1800,20,0.21983822385583807,0.12189383501588265,0.027256290113365774,0.3421875,0.11459635342693066,0.02562452362362079,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,1850,20,0.2366014710169134,0.12228002261786784,0.02734264428637643,0.3453125,0.11795581468817042,0.02637572199841172,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,1900,20,0.20457822047441104,0.125635110818899,0.028092864815177743,0.3171875,0.09993894620592114,0.022347027731613435,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,1950,20,0.24538506348384495,0.09607001808711346,0.021481909104242,0.3140625,0.08057108177721085,0.018016241587453803,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
