model,rho_nominal,rho_label,N,eta,eta_index,steps,base_seed,realization,returncode,elapsed_s,source_run
vicsek,2.0,rho_2,200,0.4,5,3000,1100515,15,0,1.6114,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.4,5,3000,1100516,16,0,1.7315,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.4,5,3000,1100517,17,0,1.7115,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.4,5,3000,1100518,18,0,1.6974,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.4,5,3000,1100519,19,0,1.6939,final_fine_grid_steps3000_R20_v1
vicsek,2,rho_2,200,0.5,,3000,921000,0,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,0.5,,3000,921001,1,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,0.5,,3000,921002,2,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,0.5,,3000,921003,3,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,0.5,,3000,921004,4,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,0.5,,3000,921005,5,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,0.5,,3000,921006,6,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,0.5,,3000,921007,7,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,0.5,,3000,921008,8,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,0.5,,3000,921009,9,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,0.5,,3000,921010,10,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,0.5,,3000,921011,11,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,0.5,,3000,921012,12,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,0.5,,3000,921013,13,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,0.5,,3000,921014,14,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,0.5,,3000,921015,15,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,0.5,,3000,921016,16,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,0.5,,3000,921017,17,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,0.5,,3000,921018,18,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,0.5,,3000,921019,19,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,1,,3000,922000,0,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,1,,3000,922001,1,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,1,,3000,922002,2,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,1,,3000,922003,3,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,1,,3000,922004,4,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,1,,3000,922005,5,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,1,,3000,922006,6,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
vicsek,2,rho_2,200,1,,3000,922007,7,0,,vicsek_eta0_6_deta0p5_steps3000_R20_v1
