model,rho_nominal,rho_label,rho_effective,N,eta,eta_index,steps,base_seed,realization,returncode,elapsed_s,output_path
voter,2.0,rho_2,2.0,200,4.0,5,3000,1400515,15,0,1.5508,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_4/steps_3000/realization_015_seed_1400515
voter,2.0,rho_2,2.0,200,4.0,5,3000,1400516,16,0,1.5335,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_4/steps_3000/realization_016_seed_1400516
voter,2.0,rho_2,2.0,200,4.0,5,3000,1400517,17,0,1.5068,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_4/steps_3000/realization_017_seed_1400517
voter,2.0,rho_2,2.0,200,4.0,5,3000,1400518,18,0,1.5185,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_4/steps_3000/realization_018_seed_1400518
voter,2.0,rho_2,2.0,200,4.0,5,3000,1400519,19,0,1.5241,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_4/steps_3000/realization_019_seed_1400519
voter,2.0,rho_2,2.0,200,5.0,6,3000,1400600,0,0,1.5826,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_5/steps_3000/realization_000_seed_1400600
voter,2.0,rho_2,2.0,200,5.0,6,3000,1400601,1,0,1.5448,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_5/steps_3000/realization_001_seed_1400601
voter,2.0,rho_2,2.0,200,5.0,6,3000,1400602,2,0,1.552,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_5/steps_3000/realization_002_seed_1400602
voter,2.0,rho_2,2.0,200,5.0,6,3000,1400603,3,0,1.5522,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_5/steps_3000/realization_003_seed_1400603
voter,2.0,rho_2,2.0,200,5.0,6,3000,1400604,4,0,1.5364,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_5/steps_3000/realization_004_seed_1400604
voter,2.0,rho_2,2.0,200,5.0,6,3000,1400605,5,0,1.5221,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_5/steps_3000/realization_005_seed_1400605
voter,2.0,rho_2,2.0,200,5.0,6,3000,1400606,6,0,1.4903,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_5/steps_3000/realization_006_seed_1400606
voter,2.0,rho_2,2.0,200,5.0,6,3000,1400607,7,0,1.5445,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_5/steps_3000/realization_007_seed_1400607
voter,2.0,rho_2,2.0,200,5.0,6,3000,1400608,8,0,1.517,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_5/steps_3000/realization_008_seed_1400608
voter,2.0,rho_2,2.0,200,5.0,6,3000,1400609,9,0,1.5807,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_5/steps_3000/realization_009_seed_1400609
voter,2.0,rho_2,2.0,200,5.0,6,3000,1400610,10,0,1.6095,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_5/steps_3000/realization_010_seed_1400610
voter,2.0,rho_2,2.0,200,5.0,6,3000,1400611,11,0,1.6263,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_5/steps_3000/realization_011_seed_1400611
voter,2.0,rho_2,2.0,200,5.0,6,3000,1400612,12,0,1.6107,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_5/steps_3000/realization_012_seed_1400612
voter,2.0,rho_2,2.0,200,5.0,6,3000,1400613,13,0,1.596,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_5/steps_3000/realization_013_seed_1400613
voter,2.0,rho_2,2.0,200,5.0,6,3000,1400614,14,0,1.6116,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_5/steps_3000/realization_014_seed_1400614
voter,2.0,rho_2,2.0,200,5.0,6,3000,1400615,15,0,1.6876,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_5/steps_3000/realization_015_seed_1400615
voter,2.0,rho_2,2.0,200,5.0,6,3000,1400616,16,0,1.5631,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_5/steps_3000/realization_016_seed_1400616
voter,2.0,rho_2,2.0,200,5.0,6,3000,1400617,17,0,1.6022,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_5/steps_3000/realization_017_seed_1400617
voter,2.0,rho_2,2.0,200,5.0,6,3000,1400618,18,0,1.6054,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_5/steps_3000/realization_018_seed_1400618
voter,2.0,rho_2,2.0,200,5.0,6,3000,1400619,19,0,1.6054,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_5/steps_3000/realization_019_seed_1400619
voter,2.0,rho_2,2.0,200,6.0,7,3000,1400700,0,0,1.5202,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_6/steps_3000/realization_000_seed_1400700
voter,2.0,rho_2,2.0,200,6.0,7,3000,1400701,1,0,1.5005,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_6/steps_3000/realization_001_seed_1400701
voter,2.0,rho_2,2.0,200,6.0,7,3000,1400702,2,0,1.5032,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_6/steps_3000/realization_002_seed_1400702
voter,2.0,rho_2,2.0,200,6.0,7,3000,1400703,3,0,1.5039,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_6/steps_3000/realization_003_seed_1400703
voter,2.0,rho_2,2.0,200,6.0,7,3000,1400704,4,0,1.549,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_6/steps_3000/realization_004_seed_1400704
voter,2.0,rho_2,2.0,200,6.0,7,3000,1400705,5,0,1.5376,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_6/steps_3000/realization_005_seed_1400705
voter,2.0,rho_2,2.0,200,6.0,7,3000,1400706,6,0,1.5278,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_6/steps_3000/realization_006_seed_1400706
voter,2.0,rho_2,2.0,200,6.0,7,3000,1400707,7,0,1.5395,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_6/steps_3000/realization_007_seed_1400707
voter,2.0,rho_2,2.0,200,6.0,7,3000,1400708,8,0,1.5425,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_6/steps_3000/realization_008_seed_1400708
voter,2.0,rho_2,2.0,200,6.0,7,3000,1400709,9,0,1.5161,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_6/steps_3000/realization_009_seed_1400709
